estacion,franja_horaria,clase,media,mediana,moda,minimo,maximo,rango,varianza,desv_std,Q1,Q2,Q3,IQR,n
CENTRO,pico_7_9,0,23.74020848182466,16.0,10.0,0.11,486.0,485.89,657.9308925068751,25.650163596103535,6.0,16.0,32.0,26.0,5612.0
CENTRO,pico_7_9,1,26.226109515996722,18.015,10.0,0.09,375.0,374.91,834.7513938661576,28.89206454835233,6.0,18.015,34.185,28.185000000000002,4876.0
CENTRO,ref_10_12,0,31.07889103351465,23.3,31.0,0.32,601.0,600.68,1077.2131098264886,32.82092487768266,9.0,23.3,42.0,33.0,5699.0
CENTRO,ref_10_12,1,33.956917475728154,25.0,23.0,0.19,470.0,469.81,1262.2219753636111,35.5277634444333,10.5975,25.0,45.0,34.4025,4944.0
NORESTE3,pico_7_9,0,23.373405227834684,14.7,11.0,0.0,1000.0,1000.0,990.814078132722,31.477199337500185,5.7525,14.7,29.0,23.2475,28310.0
NORESTE3,ref_10_12,0,28.26318173277662,19.0,20.0,0.05,667.0,666.95,1273.2999011205613,35.683328055557844,6.7,19.0,36.1,29.400000000000002,28740.0
NOROESTE3,pico_7_9,0,21.574486065328138,11.5,6.0,0.0,634.0,634.0,782.2498339220384,27.96872957290049,3.3,11.5,27.0,23.7,26696.0
NOROESTE3,ref_10_12,0,27.70683877611062,16.57,22.0,0.05,636.0,635.95,1152.2656741591406,33.94503902132299,4.4,16.57,38.0,33.6,27192.0
NORTE2,pico_7_9,0,22.083121910044618,14.0,12.0,0.05,266.0,265.95,693.8834779394294,26.34166809333512,5.0,14.0,28.9,23.9,8293.0
NORTE2,pico_7_9,1,26.41027161058976,16.0,12.0,0.12,656.0,655.88,1180.4651451574139,34.35789785707813,5.0,16.0,33.0,28.0,13107.0
NORTE2,ref_10_12,0,27.78819252736792,19.895,19.0,0.09,453.0,452.91,997.1450913774235,31.5776042691244,6.7,19.895,36.8,30.099999999999998,8404.0
NORTE2,ref_10_12,1,32.9684395357544,22.0,15.0,0.06,692.0,691.94,1703.324191289496,41.27134830956575,7.5,22.0,41.0,33.5,13355.0
SUR,pico_7_9,0,21.92761179143348,13.85,13.0,0.0,547.0,547.0,854.5649337508705,29.232942611903965,4.0,13.85,28.0,24.0,18047.0
SUR,pico_7_9,1,23.58052733226971,14.6,12.0,0.0,420.0,420.0,902.9327928276738,30.048840124498547,5.0,14.6,30.0,25.0,23818.0
SUR,ref_10_12,0,27.880046344827583,19.0,30.0,0.05,729.0,728.95,1421.5435559568016,37.70336266113146,5.2,19.0,37.0,31.8,18125.0
SUR,ref_10_12,1,29.986833647996647,21.0,20.0,0.0,503.0,503.0,1161.416369855476,34.079559414045775,6.0,21.0,41.0,35.0,23835.0
SUROESTE2,pico_7_9,0,22.977801708132194,15.0,8.0,0.05,463.0,462.95,754.8853057417555,27.4751761730795,5.0,15.0,29.0,24.0,10772.0
SUROESTE2,pico_7_9,1,27.54104854926745,17.0,8.0,0.09,488.0,487.91,1194.0606573279433,34.55518278533545,5.0,17.0,34.11,29.11,10443.0
SUROESTE2,ref_10_12,0,29.866855403909994,21.9,27.0,0.06,350.0,349.94,1041.6293831014732,32.27428361871837,9.0,21.9,39.0,30.0,10844.0
SUROESTE2,ref_10_12,1,36.36182952182952,24.0,21.0,0.08,773.0,772.92,2346.600840448016,48.44172623315581,10.0,24.0,43.4,33.4,10582.0
